datadate,tic,name,current_assets,accounts_payable,long_term_debt,current_liabilities,preferred_stock,cost_of_goods_sold,nonoperating_income,operating_income,sales,income_taxes,interest_and_expense,depreciation_and_amortization,equity_in_net_loss,inventory_decrease,capital_expenditures,short_term_investments_change
20201231,WDDD,WORLDS INC,0.692,0.982,0.0,3.362,0.0,0.0,0.014,-1.507,0.0,0.0,0.076,0.0,0.0,0.0,0.0,0.0
20201231,ACU,ACME UNITED CORP,83.685,7.601,46.84,20.201,0.0,100.657,-0.641,11.412,164.003,1.728,0.944,3.752,0.0,-10.05,2.569,0.0
20201231,AMD,ADVANCED MICRO DEVICES,6143.0,546.0,531.0,2417.0,0.0,5199.0,12.0,1383.0,9763.0,-1210.0,47.0,368.0,5.0,-417.0,294.0,-658.0
20201231,AEM,AGNICO EAGLE MINES LTD,1247.188,167.127,1664.664,515.698,0.0,1424.152,73.495,822.038,3138.113,255.958,94.428,631.101,0.0,-82.949,759.342,2.069
20201231,AGMJF,ALGOMA CENTRAL CORP,188.776,70.916,390.818,179.323,0.0,368.612,-4.837,72.167,545.66,9.503,19.517,75.154,-5.205,1.4,75.195,0.0
20201231,ABLT,AMERICAN BILTRITE INC,68.824,10.112,6.832,37.604,0.0,113.886,1.06,-8.984,162.477,8.984,0.189,6.542,0.0,-2.86,3.308,0.0
20201231,ECOL,US ECOLOGY INC,362.484,35.881,835.054,169.217,0.0,580.9,-0.088,48.959,933.854,-4.242,32.595,110.122,0.0,0.0,57.399,0.0
20201231,AP,AMPCO-PITTSBURGH CORP,171.832,26.678,28.477,105.332,0.0,258.282,6.183,6.145,328.544,-0.47,4.114,18.575,0.0,10.219,8.466,0.0
20201231,ANDR,ANDREA ELECTRONICS CORP,0.77,0.049,2.548,0.449,0.009,0.259,0.0,-0.755,1.355,0.001,0.068,0.101,0.0,0.105,0.006,0.0
20201231,APA,APA CORP,1846.0,444.0,8915.0,1308.0,0.0,6282.0,115.0,-4515.0,4212.0,64.0,446.0,2092.0,59.0,19.0,1302.0,0.0
20201231,TREC,TRECORA RESOURCES,105.896,14.447,55.357,29.584,0.0,164.648,0.556,2.938,208.626,-3.963,2.491,16.329,0.0,0.68,13.351,0.0
20201231,ARCB,ARCBEST CORP,758.168,170.898,314.958,506.547,0.0,2726.803,9.224,94.969,2940.163,21.396,11.697,118.391,0.0,0.0,57.489,51.602
20201231,ARW,ARROW ELECTRONICS INC,13152.899,7937.889,2358.51,9130.883,0.0,25482.233,24.526,913.226,28673.363,172.795,159.778,189.058,-0.531,244.325,123.585,0.0
20201231,AB.,ASBESTOS CORP LTD,5.199,0.193,24.663,2.323,0.0,3.77,0.0,-1.696,2.086,-1.937,0.0,0.012,0.0,0.0,0.002,-0.476
20201231,ATRO,ASTRONICS CORP,316.947,26.446,190.371,93.736,0.0,375.344,-1.475,-13.685,502.587,3.371,6.741,31.854,0.0,-13.614,7.459,0.0
20201231,BCPC,BALCHEM CORP  -CL B,266.888,23.742,169.648,94.428,0.0,453.827,1.984,114.386,703.644,21.794,6.714,51.281,-0.575,13.923,32.805,0.0
20201231,GOLD,BARRICK GOLD CORP,8143.0,929.0,5344.0,2220.0,0.0,4928.0,503.0,4757.0,12595.0,1332.0,359.0,2341.0,288.0,121.0,2054.0,0.0
20201231,BELFB,BEL FUSE INC,280.216,39.774,119.148,87.536,0.0,334.518,0.068,12.726,465.771,-0.659,4.746,17.077,0.0,9.69,5.476,0.0
20201231,0141A,HEXION INC,953.0,339.0,1786.0,699.0,0.0,2043.0,1.0,21.0,2510.0,14.0,100.0,191.0,2.0,35.0,108.0,0.0
20201231,BC,BRUNSWICK CORP,1670.5,457.6,978.1,1079.2,0.0,2983.0,5.1,542.6,4347.5,98.0,71.7,153.4,4.5,109.3,182.4,-55.9
20201231,MTRN,MATERION CORP,463.999,55.64,113.842,126.884,0.0,952.741,-2.043,42.51,1176.274,-7.187,3.889,43.174,0.0,-1.288,67.274,0.0
20201231,MTZ,MASTEC INC,2359.015,571.269,1274.138,1415.199,0.0,5270.879,60.309,433.153,6320.975,102.465,59.629,297.751,29.738,17.904,213.746,0.0
20201231,UIS,UNISYS CORP,1506.0,223.2,589.5,935.1,0.0,1425.9,-264.2,149.2,2025.3,45.4,33.8,161.0,0.0,3.0,27.7,0.0
20201231,CTS,CTS CORP,233.231,50.489,77.763,104.932,0.0,258.333,3.622,47.975,424.066,10.793,3.272,26.67,0.0,-0.578,14.858,0.0
20201231,TLS,TELOS CORP/MD,144.114,14.699,15.242,38.946,0.0,112.144,-0.391,6.027,179.917,-0.046,7.259,6.331,0.0,-1.345,7.461,0.0
20201231,CVV,CVD EQUIPMENT CORP,11.79,0.818,13.106,3.704,0.0,12.649,0.666,-4.225,16.92,-1.527,0.444,1.389,0.0,0.605,1.577,0.0
20201231,CAJ,CANON INC,17142.674,2910.946,782.138,12706.88,0.0,14914.085,197.255,1059.206,30279.869,329.0,8.183,2182.905,-9.524,154.023,1578.255,15.829
20201231,ASWRF,GUNGNIR RESOURCES INC,1.289,0.024,0.0,0.024,0.0,0.0,0.01,-0.638,0.0,0.0,0.0,0.0,0.0,0.0,0.341,0.0
20201231,CTAM,CASTLE (A M) & CO,203.414,29.039,239.687,55.921,0.0,269.126,1.397,-19.642,368.253,-3.014,21.377,14.078,0.0,15.816,2.868,0.0
20201231,CHE,CHEMED CORP,329.403,54.234,99.21,299.108,0.0,1378.197,8.124,314.585,2079.583,76.524,2.355,56.889,0.0,0.367,58.831,0.0
